Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt0088939,2021-04-08,2021-04-08,,"The Color Purple","The Color Purple",https://www.imdb.com/title/tt0088939/,Movie,7.7,154,1985,"Drama",105145,1986-02-07,"Steven Spielberg",,
2,tt0091306,2021-04-08,2021-04-08,,"Jumpin' Jack Flash","Jumpin' Jack Flash",https://www.imdb.com/title/tt0091306/,Movie,6.0,105,1986,"Comedy, Romance, Thriller",21960,1986-10-10,"Penny Marshall",,
3,tt2319739,2021-04-17,2021-04-17,,"41","41",https://www.imdb.com/title/tt2319739/,Movie,6.2,80,2012,"Drama, Sci-Fi",2866,2015-07-21,"Glenn Triggs",,
4,tt1743922,2021-04-17,2021-04-17,,"Donovan's Echo","Donovan's Echo",https://www.imdb.com/title/tt1743922/,Movie,6.2,91,2011,"Drama, Fantasy, Mystery, Sci-Fi, Thriller",2252,2012-02-15,"Jim Cliffe",,
5,tt7293920,2021-04-17,2021-04-17,,"The Fare","The Fare",https://www.imdb.com/title/tt7293920/,Movie,6.3,82,2018,"Fantasy, Mystery, Romance, Thriller",4344,2019-11-12,"D.C. Hamilton",,
6,tt3235888,2021-04-26,2021-04-26,,"It Follows","It Follows",https://www.imdb.com/title/tt3235888/,Movie,6.8,100,2014,"Horror, Mystery, Thriller",303222,2015-03-13,"David Robert Mitchell",,
7,tt5715874,2021-05-07,2021-05-07,,"The Killing of a Sacred Deer","The Killing of a Sacred Deer",https://www.imdb.com/title/tt5715874/,Movie,7.0,121,2017,"Drama, Horror, Mystery, Thriller",218028,2017-11-03,"Yorgos Lanthimos",,
8,tt3464902,2021-05-07,2021-05-07,,"The Lobster","The Lobster",https://www.imdb.com/title/tt3464902/,Movie,7.1,119,2015,"Drama, Romance, Sci-Fi, Thriller",337202,2015-10-16,"Yorgos Lanthimos",,
9,tt5104604,2021-06-09,2021-06-09,,"Isle of Dogs","Isle of Dogs",https://www.imdb.com/title/tt5104604/,Movie,7.8,101,2018,"Animation, Adventure, Comedy, Drama, Fantasy, Sci-Fi",213886,2018-04-13,"Wes Anderson",,
10,tt11003218,2021-12-10,2021-12-10,,"Pig","Pig",https://www.imdb.com/title/tt11003218/,Movie,6.9,92,2021,"Drama, Mystery",106399,2021-07-16,"Michael Sarnoski",,
11,tt9731534,2021-12-10,2021-12-10,,"The Night House","The Night House",https://www.imdb.com/title/tt9731534/,Movie,6.4,107,2020,"Horror, Mystery, Thriller",79319,2021-08-20,"David Bruckner",,
12,tt8772262,2021-12-10,2021-12-10,,"Midsommar","Midsommar",https://www.imdb.com/title/tt8772262/,Movie,7.1,148,2019,"Drama, Horror, Mystery, Thriller",495021,2019-07-03,"Ari Aster",,
13,tt17003896,2022-01-16,2022-01-16,,"A Jaula","A Jaula",https://www.imdb.com/title/tt17003896/,Movie,6.2,83,2022,"Crime, Thriller",599,2022-02-17,"João Wainer",,
14,tt13403046,2022-06-14,2022-06-14,,"Fresh","Fresh",https://www.imdb.com/title/tt13403046/,Movie,6.7,114,2022,"Comedy, Horror, Romance, Thriller",94819,2022-03-04,"Mimi Cave",,
